,positive,negative,neutral,compound,sentiment
🥰,0.0,0.0,0.0,50.0,Neutral
"Wow... English version is soo good....
Haven't much difference.....
Too well ...
Love and support from India.....
Love for Cupid.....",0.452,0.0,0.548,96.085,Positive
Love this version too,0.583,0.0,0.417,81.845,Positive
Saena love you❤❤,0.677,0.0,0.323,81.845,Positive
why this song so hits,0.0,0.0,1.0,50.0,Neutral
IM FEELING LONELY 👤 OH I WISH I’D FOUND A LOVER 👩‍❤️‍💋‍👨 THAT CAN HOLD ME 🫂 NOW IM CRYING IN MY ROOM 😢🛏️SO SKEPTICAL OF LOVE 💗BUT STILL I WANT IT MORE 👉 MORE 👉MORE 👉 I GAVE A SECOND CHANCE ✌️TO CUPID💘,0.355,0.18,0.464,93.445,Positive
요룡인의 10분,0.0,0.0,1.0,50.0,Neutral
Good 👍,1.0,0.0,0.0,72.02,Positive
*Real men listen to cupid* 🗿👍,0.0,0.0,1.0,50.0,Neutral
all the gymbros new song,0.0,0.0,1.0,50.0,Neutral
Aghhhh why is this song so good?!,0.0,0.0,1.0,50.0,Neutral
The first and only 4th gen kpop song i loved😊 choosy kac me 😅  blink btw...,0.0,0.0,1.0,50.0,Neutral
looooooooooooooooooove this song,0.0,0.0,1.0,50.0,Neutral
☆,0.0,0.0,0.0,50.0,Neutral
I love iit.,0.808,0.0,0.192,81.845,Positive
"the fame is deserved, so happy to see my girls graduating from nugudom ^^",0.389,0.0,0.611,91.22,Positive
Song 😊,0.0,0.0,1.0,50.0,Neutral
"Damn the song is just soooo relatable:""))",0.0,0.31,0.69,29.905000000000005,Negative
"A voz da Aran é demais perfeita, todas são, mas a dela tem um impacto angelical caramba❤",0.0,0.0,1.0,50.0,Neutral
1:05 i love this partttttt,0.583,0.0,0.417,81.845,Positive
احس باللغة الانجليزية مرة افضل ومفهوم,0.0,0.0,1.0,50.0,Neutral
Never gets old even on repeat,0.0,0.0,1.0,50.0,Neutral
15M 🎉,0.0,0.0,1.0,50.0,Neutral
it doesnt sound anything like Say so but it keeps me reminding of it.,0.0,0.107,0.893,42.905,Negative
What i listen when homies aren't around,0.0,0.0,1.0,50.0,Neutral
They're all absolutely talented. Pronunciation is lit and their voices are fire!,0.239,0.147,0.614,67.9,Positive
"This is betterest version of Cupid Song, we hope you guys (FIFTY FIFTY) can be international girl group like Fifth Harmony, cause both of your vibes are similar",0.245,0.0,0.755,89.82,Positive
Where is the continue virson of keena and saena,0.0,0.0,1.0,50.0,Neutral
Cuteee,0.0,0.0,1.0,50.0,Neutral
카디건느낌도 살짝 나고 듣기가 너무 편안하다,0.0,0.0,1.0,50.0,Neutral
so good,0.762,0.0,0.238,74.635,Positive
"This is the first K-pop song I actually liked. 

Where do I start?

-that tone on your right earbud at 0:09 😌
-the first singer sounds like GLadOS from the Portal video game
-catchy 80s style beat, with just enough BPMs to keep you hooked
-the harmony is just absolutely 😚👌
-melody has just enough variations to not make it sound boring but not too much to make it sound complicated
-a lot of words compressed in each stanza (idk but there’s this research about pop songs where the more words there are per stanza the catchier and more ‘addictive’ the song gets)
-all the singers are at least bilingual
-the music profile is so melodically unique, that it’s hard to categorize this song as JUST a pop song. It’s way, way, way more than just a pop song
-production value is excellent for a relatively unknown label, it’s almost like these guys invented “indie” K-pop 

Overall, this song is amazing. I’m not a K-pop fan, more into 60s classical British rock & contemporary American folk.

But golly, this song is just beautiful.

Bonus: the backing harmony progression at 1:02 & 1:05, then the sudden ‘rap burst’ is just icing on the cake. This group is pure talent.",0.176,0.025,0.799,99.44999999999999,Positive
Love this version 🔥🔥,0.583,0.0,0.417,81.845,Positive
I can see my masculinity flying away,0.0,0.0,1.0,50.0,Neutral
"15M?!

Mad crazy. So proud of them and well deserved",0.316,0.339,0.345,44.875,Positive
Sometimes English ver. of kpop songs was really sht.. but not with this songs..,0.0,0.0,1.0,50.0,Neutral
"15 million lessgooooo we,hunnies log in time to fly higher with fiftyfifty....",0.0,0.0,1.0,50.0,Neutral
The way this is on repeat and I am making headcanons for my ships with this song.,0.0,0.0,1.0,50.0,Neutral
I love it when people didn't know it's a kpop song and bully kpop stans for listening to kpop lol,0.278,0.127,0.595,79.295,Positive
"i can't stop listening to this song, maybe i already have last song symdrome",0.146,0.0,0.854,61.175000000000004,Positive
i found my gf after listen to this song damnn,0.0,0.0,1.0,50.0,Neutral
esta es la cancion mas  hermosa que escuchado este año,0.0,0.0,1.0,50.0,Neutral
I was wondering why and who is Twin among the members. It's so cute to find out that they call it like that because only 2 of the members sang this version. It is soo cute,0.248,0.0,0.752,94.08000000000001,Positive
I love English version,0.677,0.0,0.323,81.845,Positive
"1:09 her voice is so smooth....
I got soothed",0.201,0.0,0.799,59.675,Positive
GASP.,0.0,0.0,1.0,50.0,Neutral
"I have a feeling this song will fall  - if not already - as a timeless song category.

It sounds dreamy and the music beat suits for every generation - at least that's what I think",0.051,0.0,0.949,56.400000000000006,Positive
